"cue","response","correction"
"presidente","capas","capaz"
"Montevideo","canelones","Canelones"
"montevideo","canelones","Canelones"
"progreso","canelones","Canelones"
"haber","alla","haya"
"parque","rodo","Rodó"
"parque","rodó","Rodó"
"goma","Eva","EVA"
"goma","eva","EVA"
"manzana","eva","Eva"
"dado","asar","azar"
"juego","asar","azar"
"acaso","si","si"
"condición","si","si"
"condicional","si","si"
"cocinar","cocer","cocer"
"ahí","esta","está"
"ella","el","él"
"alguien","el","él"
"quien","el","él"
"tu","el","él"
"yo","el","él"
"otro","el","él"
"fantasma","opera","ópera"
"duelo","perdida","pérdida"
"fuga","perdida","pérdida"
"funeral","perdida","pérdida"
"llanto","perdida","pérdida"
"sin","perdida","pérdida"
"cuchara","revolver","revolver"
"cucharón","revolver","revolver"
"espátula","revolver","revolver"
"pensar","revolver","revolver"
"cáncer","mama","mama"
"toma","bebe","bebe"
"dólar","usa","USA"
"sucedido","paso","pasó"
"mamífero","mama","mama"
"metros","oca","OCA"
"puré","papa","papa"
"cura","papa","papa"
"iglesia","papa","papa"
"dios","papa","papa"
"comida","papa","papa"
"santo","tomas","Tomás"
"santo","tomás","Tomás"
"aviso","vos","voz"
"canción","vos","voz"
"cantante","vos","voz"
"cantar","vos","voz"
"canto","vos","voz"
"conciencia","vos","voz"
"conferencia","vos","voz"
"decir","vos","voz"
"dulzura","vos","voz"
"escucha","vos","voz"
"escuchar","vos","voz"
"garganta","vos","voz"
"grave","vos","voz"
"grito","vos","voz"
"gritos","vos","voz"
"habla","vos","voz"
"humana","vos","voz"
"llamado","vos","voz"
"mensaje","vos","voz"
"pito","vos","voz"
"radio","vos","voz"
"registro","vos","voz"
"ruido","vos","voz"
"sentidos","vos","voz"
"sonar","vos","voz"
"sonido","vos","voz"
"sonidos","vos","voz"
"tono","vos","voz"
"fila","india","india"
"indio","india","india"
"plumas","india","india"
"sigue","continua","continúa"
"capitalismo","usa","USA"
"Estados Unidos","usa","USA"
"extranjero","usa","USA"
"nasa","usa","USA"
"cuidadoso","cuidad","cuidado"
"grito","cuidad","cuidado"
"candado","cuidad","cuidado"
"ano","colon","colon"
"ciego","colon","colon"
"órgano","colon","colon"
"óseo","osea","ósea"
"cuerno","siervo","ciervo"
"rifle","siervo","ciervo"
"venado","siervo","ciervo"
"atiende","solicito","solícito"
"dedicado","solicito","solícito"
"roto","deshecho","deshecho"
"roto","desecho","deshecho"
"reparar","deshecho","deshecho"
"reparar","desecho","deshecho"
"boina","che","Che"
"comandante","che","Che"
"Cuba","che","Che"
"Fidel","che","Che"
"Guevara","che","Che"
"revolución","che","Che"
"facturas","hábitat","Abitab"
"facturas","abitat","Abitab"
"facturas","habitat","Abitab"
"oferta","liquida","líquida"
"Perú","quito","Quito"
"tarjeta","oca","OCA"
"caca","eses","heces"
"jubilación","jubilo","jubilo"
"amplia","basto","vasto"
"amplia","vasto","vasto"
"universo","basto","vasto"
"universo","vasto","vasto"
"bikini","maya","malla"
"culo","maya","malla"
"telaraña","maya","malla"
"financiero","perdidas","pérdidas"
"agujero","perdidas","pérdidas"
"operación","opera","opera"
"operativo","opera","opera"
"corteza","cortez","cortez"
"Alberto","cortez","cortez"
"y","et","et"
"yuyos","tes","tés"
"hierbas","tes","tés"
"ave","cesar","César"
"coliseo","cesar","César"
"emperador","cesar","César"
"julio","cesar","César"
"romano","cesar","César"
"descartar","descartes","descartes"
"techo","losa","losa"
"baldosas","losa","losa"
"piedra","losa","losa"
"paraguaya","paragua","paragua"
"paraguayo","paragua","paragua"
"extranjero","paragua","paragua"
"detenido","quito","quieto"
"inmóvil","quito","quieto"
"enseñanzas","vuda","Buda"
"filósofo","vuda","Buda"
"Perdón","evita","Evita"
"guerrera","evita","Evita"
"peronismo","evita","Evita"
"peronista","evita","Evita"
"sindical","evita","Evita"
"equino","raid","raid"
"jinete","raid","raid"
"caballo","raid","raid"
"carrera","raid","raid"
"amarse","amen","amen"
"amor","amen","amen"
"Peñarol","nacional","Nacional"
"tribuna","nacional","Nacional"
"clásico","nacional","Nacional"
"bolso","nacional","Nacional"
"escapes","fugas","fugas"
"escape","fugas","fugas"
"cárcel","fugas","fugas"
"yoga","mat","mat"
"cien","cia","cia"
"auxilio","sos","S.O.S."
"ayuda","sos","S.O.S."
"naufragio","sos","S.O.S."
"rescate","sos","S.O.S."
"salvación","sos","S.O.S."
"salvar","sos","S.O.S."
"socorro","sos","S.O.S."
"socorrer","sos","S.O.S."
"pedido","sos","S.O.S."
"peligro","sos","S.O.S."
"catre","moises","moisés"
"bebé","moises","moisés"
"cama","moises","moisés"
"cuna","moises","moisés"
